RecipeID,MaterialMasterID,BomAlternative,ProdIssue,RecipeEdition,RecipeDescription,ParameterID,ParameterGlobalName,ParameterLocalName,ParameterValue,Workcenter,TechOffsetValue,RecipeCreatedDate,RecipeLastModifiedDate,ProcessTypeID,Item
174535,992680953800,G1,100,2,285/40R21 1 (D222V):PWPR,1250546.0,TB2_SPR_StatusSprayingLayer5Position4,Bottom Layer Pos.4 (Future Function),1,TB252,,2026-09-18 02:42:39.067,2026-09-18 02:43:35.980,125,PU
174535,992680953800,G1,100,2,285/40R21 1 (D222V):PWPR,1250546.0,TB2_SPR_StatusSprayingLayer5Position4,Bottom Layer Pos.4 (Future Function),1,TB284,,2026-09-18 02:42:39.067,2026-09-18 02:43:35.980,125,PU
174535,992680953800,G1,100,2,285/40R21 1 (D222V):PWPR,1250545.0,TB2_SPR_StatusSprayingLayer5Position3,Bottom Layer Pos.3 (Future Function),1,TB264,,2026-09-18 02:42:39.067,2026-09-18 02:43:35.980,125,PU
174535,992680953800,G1,100,2,285/40R21 1 (D222V):PWPR,1250110.0,TB2_CPL_StatusLayon,Apply cap ply - active,1,TB284,,2026-09-18 02:42:39.067,2026-09-18 02:43:35.980,125,PU
174535,992680953800,G1,100,2,285/40R21 1 (D222V):PWPR,1250110.0,TB2_CPL_StatusLayon,Apply cap ply - active,1,TB251,,2026-09-18 02:42:39.067,2026-09-18 02:43:35.980,125,PU
174535,992680953800,G1,100,2,285/40R21 1 (D222V):PWPR,1250110.0,TB2_CPL_StatusLayon,Apply cap ply - active,1,TB252,,2026-09-18 02:42:39.067,2026-09-18 02:43:35.980,125,PU
174535,992680953800,G1,100,2,285/40R21 1 (D222V):PWPR,1250110.0,TB2_CPL_StatusLayon,Apply cap ply - active,1,TB254,,2026-09-18 02:42:39.067,2026-09-18 02:43:35.980,125,PU
174535,992680953800,G1,100,2,285/40R21 1 (D222V):PWPR,1250110.0,TB2_CPL_StatusLayon,Apply cap ply - active,1,TB261,,2026-09-18 02:42:39.067,2026-09-18 02:43:35.980,125,PU
174535,992680953800,G1,100,2,285/40R21 1 (D222V):PWPR,1250110.0,TB2_CPL_StatusLayon,Apply cap ply - active,1,TB262,,2026-09-18 02:42:39.067,2026-09-18 02:43:35.980,125,PU
174535,992680953800,G1,100,2,285/40R21 1 (D222V):PWPR,1250110.0,TB2_CPL_StatusLayon,Apply cap ply - active,1,TB263,,2026-09-18 02:42:39.067,2026-09-18 02:43:35.980,125,PU
174535,992680953800,G1,100,2,285/40R21 1 (D222V):PWPR,1250110.0,TB2_CPL_StatusLayon,Apply cap ply - active,1,TB271,,2026-09-18 02:42:39.067,2026-09-18 02:43:35.980,125,PU
